City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,iqaluit,63.7506,-68.5145,-7.15,86,100,9.26,CA,1681254083
85,port alfred,-33.5906,26.891,12.88,86,100,1.34,ZA,1681254179
86,santa rosa,14.3122,121.1114,26.72,82,100,1.86,PH,1681253604
87,karratha,-20.7377,116.8463,28.71,47,98,4.61,AU,1681253891
88,kahului,20.8947,-156.47,27.2,78,99,2.68,US,1681254170
89,fonte boa,-2.4959,-66.2662,24.51,97,100,0.77,BR,1681253892
90,puerto ayora,-0.7393,-90.3518,30.98,86,71,1.79,EC,1681253998
91,new norfolk,-42.7826,147.0587,12.73,70,48,0.45,AU,1681254064
92,necochea,-38.5473,-58.7368,16.47,91,97,5.12,AR,1681254053
93,atuona,-9.8,-139.0333,27.4,77,100,6.27,PF,1681254009
94,hitchin,51.9531,-0.2652,8.72,90,75,6.17,GB,1681253893
95,ambatofinandrahana,-20.55,46.8,14.4,89,7,0.33,MG,1681253893
96,chabahar,25.2919,60.643,25.07,68,80,1.14,IR,1681253893
97,mizdah,31.4451,12.9801,10.51,59,0,0.58,LY,1681253893
98,raudeberg,61.9875,5.1352,6.59,71,50,4.87,NO,1681253894
99,huarmey,-10.0681,-78.1522,25.69,79,31,4.19,PE,1681253894
100,bustamante,26.5333,-100.5,26.23,37,28,4.66,MX,1681253894
101,humen,22.819,113.6731,25.08,81,48,1.78,CN,1681253895
102,bolshaya izhora,59.938,29.5772,5.07,88,100,2.97,RU,1681253895
103,north bend,43.4065,-124.2243,11.8,80,42,4.74,US,1681254181
104,atherton,53.5237,-2.4935,7.44,81,94,1.79,GB,1681253896
105,half moon bay,37.4636,-122.4286,20.68,56,0,10.8,US,1681253896
106,te anau,-45.4167,167.7167,11.35,97,100,2.06,NZ,1681253614
107,port elizabeth,-33.918,25.5701,13.51,84,0,2.57,ZA,1681254182
108,fayaoue,-20.65,166.5333,27.53,70,7,0.43,NC,1681253896
109,tura,25.5198,90.2201,21.64,21,0,1.31,IN,1681254182
110,nemuro,43.3236,145.575,5.89,97,100,10.43,JP,1681254182
111,lata,40.1629,-8.3327,11.71,97,68,0.29,PT,1681253897
112,faya,18.3851,42.4509,16.06,54,0,1.21,SA,1681253897
113,agarakadzor,39.7341,45.3527,13.22,78,100,2.21,AM,1681253897
114,baykit,61.67,96.37,-12.88,89,100,5.22,RU,1681254183
115,saldanha,-33.0117,17.9442,10.03,78,54,3.84,ZA,1681254082
116,tiksi,71.6872,128.8694,-24.43,100,93,0.47,RU,1681254183
117,anadyr,64.75,177.4833,-19.72,65,0,1.0,RU,1681254114
118,general pico,-35.6566,-63.7568,22.44,55,72,3.2,AR,1681253644
119,carnarvon,-24.8667,113.6333,20.7,59,65,8.02,AU,1681254100
120,dawlatabad,36.4141,64.9053,19.65,35,48,2.68,AF,1681253899
121,progreso,21.2833,-89.6667,28.39,71,85,6.42,MX,1681253651
122,sept-iles,50.2001,-66.3821,7.0,87,100,2.06,CA,1681253689
123,saint anthony,45.0205,-93.218,27.03,26,40,8.23,US,1681253899
124,marau,-28.4492,-52.2,21.5,61,95,1.55,BR,1681253900
125,chunskiy,56.0815,99.6342,-4.77,77,95,5.03,RU,1681253900
126,san cristobal,7.7669,-72.225,25.1,81,92,0.87,VE,1681254140
127,torbay,47.6666,-52.7314,3.98,49,100,5.01,CA,1681254184
128,souillac,-20.5167,57.5167,25.21,94,75,1.54,MU,1681253901
129,mezen,65.8522,44.24,-0.01,98,100,3.42,RU,1681253901
